"LCSC Part Number","Manufacture Part Number","Manufacturer","Customer NO.","Package","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price"
"C25535","0402WGJ0123TCE","UNI-ROYAL(Uniroyal Elec)","","0402","12kΩ ±5% 1/16W ±100ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C25538","0402WGJ0154TCE","UNI-ROYAL(Uniroyal Elec)","","0402","150kΩ ±5% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000500","$0.50"
"C25546","0402WGJ0224TCE","UNI-ROYAL(Uniroyal Elec)","","0402","220kΩ ±5% 1/16W ±100ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C52929","0402WGF1303TCE","UNI-ROYAL(Uniroyal Elec)","","0402","130kΩ ±1% 1/16W ±100ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000500","$0.50"
"C137859","RC0402JR-07560KL","YAGEO","","0402","560kΩ ±5% 1/16W ±100ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C140199","RC-02W1803FT","FH(Guangdong Fenghua Advanced Tech)","","0402","180kΩ ±1% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000500","$0.50"
"C150464","DDZ9678-7","Diodes Incorporated","","SOD-123","1.8V 500mW 7.5uA @ 1V SOD-123 Zener Diodes RoHS","YES","20","10\10","$0.034600","$0.69"
"C248567","LMV321B-TR","3PEAK","","SOT-23-5","CMOS 1 2.5V ~ 5.5V 130uA 1MHz 0.7 V/us SOT-23-5 Low Power OpAmps RoHS","YES","50","5\5","$0.048300","$2.42"
"C248711","TP1941U-CR","3PEAK","","SC70-5","1 1.8V ~ 5.5V 46uA CMOS, Push-Pull, TTL 68ns SC70-5 Analog Comparators RoHS","YES","10","1\1","$0.127700","$1.28"
"C258135","RC-02W514JT","FH(Guangdong Fenghua Advanced Tech)","","0402","510kΩ ±5% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C294637","RC-02W474JT","FH(Guangdong Fenghua Advanced Tech)","","0402","470kΩ ±5% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C304599","RC-02W2702FT","FH(Guangdong Fenghua Advanced Tech)","","0402","27kΩ ±1% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000500","$0.50"
"C321435","RC-02W304JT","FH(Guangdong Fenghua Advanced Tech)","","0402","300kΩ ±5% 1/16W ±200ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C362274","LMV358-SR","Gainsil","","SOP-8","SOP-8 Low Power OpAmps RoHS","YES","20","10\10","$0.053700","$1.07"
"C423105","0402WGJ0364TCE","UNI-ROYAL(Uniroyal Elec)","","0402","360kΩ ±5% ±5% 1/16W ±100ppm/℃ 0402 Chip Resistor - Surface Mount RoHS","YES","1000","100\100","$0.000400","$0.40"
"C962973","INA2332AIPWR","Texas Instruments","","TSSOP-14","TSSOP-14 Instrumentation OpAmps RoHS","YES","10","1\1","$1.789300","$17.89"
